Column 1,item_id,stem,option_a,fb_a,option_b,fb_b,option_c,fb_c,option_d,fb_d,correct,rationale,rationale_img,subject,topic,difficulty,marks,instant_id,timed_id
,GP-S1-28,The abbreviation OD in drug prescriptions means:,Every hour,Incorrect – “q1h” is used.,Once daily,Correct – OD (omni die) means once a day.,After dinner,Incorrect – “pc” (post cibum) refers to after meals.,,,B,"OD indicates a drug is to be taken once per day, usually at a consistent time.",,FUND,Fundamentals,Easy,,GP-F-I2,GP-F-T1
,GP-S1-29,A person who cannot read or write gives consent by:,Writing initials,Incorrect – not valid if person is illiterate.,Thumbprint with witness,Correct – legally acceptable if witnessed.,Verbal yes only,Incorrect – not strong enough legally.,,,B,Informed consent must be documented; a thumbprint with a witness ensures legal and ethical validity when literacy is limited.,,FUND,Fundamentals,Moderate,,GP-F-I2,GP-F-T1
,GP-S1-30,Nosocomial infections are those:,Acquired in hospital,Correct – arise 48+ hours after admission.,From poor food hygiene,"Incorrect – typically foodborne infections, not hospital-specific.",Transmitted by mosquitoes,"Incorrect – vector-borne diseases, not nosocomial.",,,A,"Nosocomial infections occur in hospital settings due to lapses in infection prevention practices, e.g., MRSA, ventilator-associated pneumonia.",,PHN,Public/community health,Moderate,,GP-F-I2,GP-F-T1
,GP-S1-31,The most effective way to break the chain of infection is:,Wearing gloves,"Incorrect – helps, but not the most universal method.",Hand hygiene,Correct – interrupts pathogen transmission.,Isolation,"Incorrect – important, but handwashing is more broadly effective.",,,B,"Hand hygiene reduces microbial transfer across all settings, making it the most effective single infection control measure.",,FUND,Fundamentals,Easy,,GP-F-I2,GP-F-T1
,GP-S1-32,Which is a normal finding in a healthy newborn?,Cyanosis of lips,Incorrect – suggests hypoxia.,Reflex movements,"Correct – normal primitive reflexes (Moro, rooting, grasp).",Nasal flaring,Incorrect – sign of respiratory distress.,,,B,Reflexes are normal neurologic findings in neonates; abnormal would suggest neurologic or respiratory compromise.,,PEDS,Paediatrics,Easy,,GP-F-I2,GP-F-T1
,GP-S1-33,The normal capillary refill time is:,5 seconds,"Incorrect – prolonged, indicates poor perfusion.",Less than 2 seconds,Correct – indicates normal peripheral perfusion.,10 seconds,"Incorrect – markedly delayed, suggests severe shock.",,,B,"Capillary refill <2 sec is normal; >2 sec indicates hypovolemia, shock, or poor circulation.",,MED,Medicine,Moderate,,GP-F-I2,GP-F-T1
,GP-S1-34,A person with BMI of 35 is classified as:,Overweight,Incorrect – BMI 25–29.9.,Obese,Correct – BMI ≥30.,Underweight,Incorrect – BMI <18.5.,,,B,"BMI 30–39.9 is obesity, associated with higher risk of hypertension, diabetes, and cardiovascular disease.",,PHN,Public/community health,Easy,,GP-F-I2,GP-F-T1
,GP-S1-35,The acronym RICE for sprains stands for:,"Rest, Insulin, Compress, Exercise",Incorrect – insulin irrelevant; exercise inappropriate.,"Rest, Ice, Compress, Elevate",Correct – standard protocol for soft tissue injuries.,"Run, Inject, Cover, Elevate",Incorrect – unsafe and unrelated.,,,B,"RICE reduces swelling, controls bleeding, and promotes recovery in sprains and strains.",,SURG,Surgeryery,Easy,,GP-F-I2,GP-F-T1
,GP-S1-36,Which nutrient is most important for wound healing?,Carbohydrate,"Incorrect – provides energy, but not central for repair.",Protein,Correct – essential for tissue growth and repair.,Fat,Incorrect – supplies calories but not primary in healing.,,,B,"Protein supports collagen formation, immune defense, and angiogenesis, all vital in wound repair.",,MED,Medicine,Moderate,,GP-F-I2,GP-F-T1
,GP-S1-37,A child with rickets is deficient in:,Vitamin A,Incorrect – deficiency causes night blindness.,Vitamin D,Correct – deficiency impairs bone mineralization.,Iron,Incorrect – deficiency leads to anemia.,,,B,"Vitamin D deficiency leads to rickets, characterized by bowed legs, delayed growth, and bone deformities.",,PEDS,Paediatrics,Easy,,GP-F-I2,GP-F-T1
,GP-S1-38,A normal adult urine output per day is:,100 mL,"Incorrect – severe oliguria, indicates renal failure.",1000–2000 mL,Correct – normal adult daily urine volume.,3000–5000 mL,"Incorrect – polyuria, as seen in uncontrolled diabetes.",,,B,"Normal urine output is 1–2 L/day. Significant deviations suggest renal, endocrine, or hydration problems.",,MED,Medicine,Easy,,GP-F-I2,GP-F-T1
,GP-S1-39,Which of the following is a living will?,Land ownership,Incorrect – unrelated to healthcare.,Advanced directive for care,Correct – specifies patient’s healthcare wishes.,Insurance policy,"Incorrect – financial, not medical.",,,B,A living will or advanced directive communicates patient wishes about medical care if they cannot decide.,,ETH,Ethics,Moderate,,GP-F-I2,GP-F-T1
,GP-S1-40,Which blood group is a universal donor?,AB+,"Incorrect – universal recipient, not donor.",O negative,"Correct – lacks A, B, and Rh antigens, making it universally compatible.",A+,Incorrect – limited compatibility.,,,B,O– blood can be given to any patient in emergencies when type-specific blood is unavailable.,,MED,Medicine,Easy,,GP-F-I2,GP-F-T1
,GP-S1-41,Cyanosis is caused by:,Lack of oxygen,Correct – deoxygenated hemoglobin gives bluish discoloration.,Too much carbon dioxide,"Incorrect – may cause respiratory acidosis, but not cyanosis directly.",Low iron,"Incorrect – leads to anemia and pallor, not bluish discoloration.",,,A,Cyanosis is a bluish discoloration of skin and mucosa due to insufficient oxygenation of blood.,,MED,Medicine,Easy,,GP-F-I2,GP-F-T1
,GP-S1-42,A person with TB must:,Avoid medication,Incorrect – dangerous; worsens disease.,Adhere strictly to full drug regimen,Correct – prevents resistance and ensures cure.,Stay in dark rooms,"Incorrect – isolation is needed, but light has no impact.",,,B,Strict adherence to TB therapy prevents multidrug resistance and ensures effective treatment.,,MED,Medicine,Moderate,,GP-F-I2,GP-F-T1
,GP-S1-43,What is the primary aim of antenatal care?,Ensure maternal and fetal health,"Correct – monitoring, early detection, and health promotion.",Detect cancer early,Incorrect – not the goal of ANC.,Promote breastfeeding,Incorrect – discussed but not primary aim.,,,A,"Antenatal care focuses on ensuring safe pregnancy, detecting complications early, and preparing for safe delivery.",,MID,Midwifery,Easy,,GP-F-I2,GP-F-T1
,GP-S1-44,Exclusive breastfeeding should last for:,3 months,"Incorrect – too short, infant not fully protected.",6 months,Correct – WHO recommends exclusive breastfeeding for 6 months.,1 year,Incorrect – complementary foods are needed beyond 6 months.,,,B,"Exclusive breastfeeding for 6 months provides immunity, nutrition, and growth support without other foods or water.",,PEDS,Paediatrics,Easy,,GP-F-I2,GP-F-T1
,GP-S1-45,Which hormone regulates blood sugar?,Insulin,Correct – lowers glucose by promoting cellular uptake.,Thyroxine,"Incorrect – regulates metabolism, not blood glucose.",Adrenaline,"Incorrect – increases glucose during stress, not main regulator.",,,A,"Insulin, secreted by pancreatic beta cells, regulates blood sugar; its absence or resistance causes diabetes mellitus.",,MED,Medicine,Easy,,GP-F-I2,GP-F-T1
,GP-S1-46,The Apgar score assesses all except:,Heart rate,Correctly included – part of Apgar.,Respiration,Correctly included – respiratory effort assessed.,Blood pressure,Incorrect – not part of Apgar scoring.,,,C,"Apgar score measures HR, respiration, reflexes, muscle tone, and color; BP is not included.",,PEDS,Paediatrics,Moderate,,GP-F-I2,GP-F-T1
,GP-S1-47,One kilogram equals:,1000 grams,Correct – standard metric conversion.,100 grams,Incorrect – only one-tenth of a kilogram.,1000 milligrams,"Incorrect – equals 1 gram, not 1 kg.",,,A,1 kilogram = 1000 grams; important for medication dosing and fluid calculations.,,FUND,Fundamentals,Easy,,GP-F-I2,GP-F-T1
,GP-S1-48,What is the minimum number of hours of sleep an adult should get?,3 hours,"Incorrect – inadequate for health, causes fatigue.",6–8 hours,Correct – recommended for optimal physical and mental function.,10 hours,Incorrect – longer sleep may suggest underlying illness.,,,B,"Adults need 6–8 hours of sleep daily to support immune, cognitive, and physical health.",,PHN,Public/community health,Easy,,GP-F-I2,GP-F-T1
,GP-S1-49,Which is a sign of hypoglycemia?,Flushed skin,Incorrect – flushing occurs with fever or menopause.,Sweating and confusion,Correct – classic early symptoms of hypoglycemia.,Bradycardia,Incorrect – not a usual sign; tachycardia is more common.,,,B,"Hypoglycemia manifests as sweating, tremors, confusion, and in severe cases seizures or coma.",,MED,Medicine,Moderate,,GP-F-I2,GP-F-T1
,GP-S1-50,A child with kwashiorkor lacks:,Carbohydrates,"Incorrect – deficiency leads to marasmus, not kwashiorkor.",Protein,"Correct – deficiency causes edema, fatty liver, and skin/hair changes.",Fat,Incorrect – absence leads to weight loss but not kwashiorkor.,,,B,"Kwashiorkor is caused by protein deficiency despite adequate calories, leading to edema and growth retardation.",,PEDS,Paediatrics,Moderate,,GP-F-I2,GP-F-T1
,GP-S1-51,Which of the following is a vector-borne disease?,HIV,Incorrect – transmitted via blood and body fluids.,Malaria,Correct – transmitted by Anopheles mosquito.,Measles,"Incorrect – spreads via airborne droplets, not vectors.",,,B,"Malaria is a vector-borne disease, spread through mosquito bites; vector control is vital for prevention.",,PHN,Public/community health,Easy,,GP-F-I2,GP-F-T1
,GP-S1-52,Gloves should be removed:,After contact with bodily fluids,Correct – prevents contamination of environment and self.,After documentation,Incorrect – gloves should not be worn during charting.,Before procedure,Incorrect – gloves are needed for protection during procedures.,,,A,Gloves protect during fluid contact but must be removed immediately after to prevent cross-contamination.,,FUND,Fundamentals,Easy,,GP-F-I2,GP-F-T1
,GP-S1-53,The safest method to sterilize surgical instruments is:,Boiling,Incorrect – reduces microbes but not full sterilization.,Autoclaving,Correct – uses pressurized steam to kill all microorganisms.,Sun drying,"Incorrect – ineffective, not sterilization.",,,B,Autoclaving is the gold standard for sterilizing reusable surgical instruments.,,SURG,Surgeryery,Easy,,GP-F-I2,GP-F-T1
,GP-S1-54,Passive immunity is acquired through:,Vaccination,Incorrect – induces active immunity.,Antibodies from another person,"Correct – e.g., maternal antibodies via placenta or immunoglobulin therapy.",Contact with pathogen,Incorrect – induces active immunity after infection.,,,B,"Passive immunity is temporary protection from externally produced antibodies, not the body’s own immune response.",,Fundamentals,Fundamentals,Moderate,,GP-F-I2,GP-F-T1
,GP-S1-55,The major cause of infant mortality in developing countries is:,Congenital defects,Incorrect – less common than infections.,Diarrheal diseases,Correct – leading cause due to dehydration and poor sanitation.,Cancer,Incorrect – rare in infants.,,,B,"Diarrheal diseases are a major cause of infant death in low-resource settings; prevention relies on sanitation, safe water, and ORT.",,PHN,Public/community health,Hard,,GP-F-I2,GP-F-T1
,GP-S1-56,A patient reports burning during urination. You suspect:,Appendicitis,"Incorrect – presents with right lower quadrant pain, not dysuria.",Urinary tract infection,Correct – dysuria is a hallmark symptom.,Constipation,"Incorrect – causes abdominal pain, not painful urination.",,,B,"UTIs present with burning urination, frequency, urgency, and sometimes hematuria.",,MED,Medicine,Easy,,GP-F-I2,GP-F-T1
,GP-S1-57,HIV can be transmitted through all EXCEPT:,Blood,Correct transmission route.,Sweat,Incorrect – not a route of transmission.,Semen,Correct transmission route.,,,B,"HIV spreads via blood, semen, vaginal fluids, and breast milk, but not sweat, saliva, or casual contact.",,PHN,Public/community health,Easy,,GP-F-I2,GP-F-T1
,GP-S1-58,Iron is essential for:,Hemoglobin production,Correct – needed for oxygen binding in red cells.,Digestion,"Incorrect – enzymes are involved, not iron directly.",Nerve conduction,Incorrect – relies on electrolytes and neurotransmitters.,,,A,"Iron deficiency causes anemia due to reduced hemoglobin synthesis, impairing oxygen transport.",,MED,Medicine,Easy,,GP-F-I2,GP-F-T1
,GP-S1-59,The term “febrile” means:,Sweaty,"Incorrect – sweating is diaphoresis, not always fever-related.",Has a fever,Correct – febrile indicates elevated body temperature.,Nauseated,"Incorrect – refers to GI upset, unrelated to fever.",,,B,"Febrile = body temperature above normal, typically due to infection or inflammation.",,MED,Medicine,Easy,,GP-F-I2,GP-F-T1
,GP-S1-60,The normal heart rate for an adult is:,40–60 bpm,"Incorrect – bradycardia, usually abnormal in adults.",60–100 bpm,Correct – accepted normal adult heart rate.,110–130 bpm,"Incorrect – tachycardia, abnormal at rest.",,,B,Normal adult HR is 60–100 bpm; lower or higher values require assessment.,,MED,Medicine,Easy,,GP-F-I2,GP-F-T1
,GP-S1-61,All are side effects of antibiotics EXCEPT:,Diarrhea,Incorrect – common due to altered gut flora.,Allergic reactions,"Incorrect – rashes, anaphylaxis possible.",Blindness,Correct – not a recognized antibiotic side effect.,,,C,"Antibiotics often cause GI upset, allergy, or resistance, but not blindness.",,MED,Medicine,Moderate,,GP-F-I2,GP-F-T1
,GP-S1-62,Hepatitis B affects which organ?,Liver,Correct – site of viral replication and inflammation.,Kidney,Incorrect – hepatitis does not primarily involve the kidney.,Heart,Incorrect – unrelated to hepatitis.,,,A,"Hepatitis B is a viral infection of the liver causing inflammation, fibrosis, and cancer risk.",,MED,Medicine,Easy,,GP-F-I2,GP-F-T1
,GP-S1-63,A person who suddenly becomes unconscious needs:,Food,Incorrect – unsafe if airway not protected.,Fluids,Incorrect – oral fluids contraindicated in unconscious state.,Immediate assessment and airway check,Correct – airway and breathing must be secured first.,,,C,"First response to unconsciousness is ABC (Airway, Breathing, Circulation).",,FUND,Fundamentals,Moderate,,GP-F-I2,GP-F-T1
,GP-S1-64,Dehydration in children can be assessed by:,Weight gain,Incorrect – dehydration causes weight loss.,Sunken eyes and fontanelle,Correct – classic signs of fluid deficit.,Hair loss,Incorrect – not a dehydration feature.,,,B,"Clinical signs such as sunken eyes, dry mucosa, and poor skin turgor indicate dehydration.",,PEDS,Paediatrics,Easy,,GP-F-I2,GP-F-T1
,GP-S1-65,The pulse felt at the wrist is called:,Brachial,Incorrect – felt at inner elbow.,Radial,Correct – standard site at wrist.,Carotid,Incorrect – felt at neck.,,,B,The radial pulse at the wrist is most common for routine measurement.,,FUND,Fundamentals,Easy,,GP-F-I2,GP-F-T1
,GP-S1-66,Palliative care focuses on:,Cure,Incorrect – not the goal.,Comfort and quality of life,Correct – relieves suffering in life-limiting illness.,Rehabilitation,Incorrect – focuses on restoring function.,,,B,"Palliative care prioritizes dignity, comfort, and symptom relief, not cure.",,ETH,Ethics,Moderate,,GP-F-I2,GP-F-T1
,GP-S1-67,The abbreviation “STAT” means:,Immediately,Correct – urgent action required.,After meals,Incorrect – that is “pc.”,Twice a day,Incorrect – that is “bd.”,,,A,"STAT orders demand immediate administration, often in emergencies.",,FUND,Fundamentals,Easy,,GP-F-I2,GP-F-T1
,GP-S1-68,Immunization helps in:,Curing diseases,"Incorrect – vaccines prevent, they don’t cure.",Preventing disease,Correct – stimulates protective immunity.,Increasing weight,"Incorrect – nutrition, not vaccination.",,,B,Immunization prevents infectious diseases by stimulating adaptive immunity.,,IMM,IMM,Easy,,GP-F-I2,GP-F-T1
,GP-S1-69,Which food is rich in iron?,Liver,Correct – excellent source of heme iron.,Yam,Incorrect – provides mainly carbohydrates.,Apple,"Incorrect – contains small amounts, not significant.",,,A,Iron-rich foods like liver prevent anemia by supporting hemoglobin synthesis.,,NUTR,Nutrition,Easy,,GP-F-I2,GP-F-T1
,GP-S1-70,Normal body temperature is:,35°C,Incorrect – hypothermia.,36.5–37.5°C,Correct – accepted normal range.,39°C,Incorrect – indicates fever.,,,B,Normal core temperature averages 36.5–37.5°C; deviations require evaluation.,,MED,Medicine,Easy,,GP-F-I2,GP-F-T1
,GP-S1-71,"The most important reason for using PPE (gloves, gowns, etc.) is to:",Make the nurse feel protected,"Incorrect – secondary effect, not rationale.",Prevent transmission of infection,Correct – protects both patient and staff.,Improve hospital image,Incorrect – not clinical justification.,,,B,PPE reduces risk of infection transmission between patients and healthcare workers.,,FUND,Fundamentals,Easy,,GP-F-I2,GP-F-T1
,GP-S1-72,A patient has a blood pressure of 80/50 mmHg. This is considered:,Normal,Incorrect – adult normal is ~120/80 mmHg.,Hypertension,"Incorrect – high BP, opposite finding.",Hypotension,Correct – systolic <90 or diastolic <60.,,,C,"Hypotension may cause dizziness, fainting, or shock due to poor tissue perfusion.",,MED,Medicine,Moderate,,GP-F-I2,GP-F-T1
,GP-S1-73,What does the term “asepsis” mean?,Pain management,Incorrect – refers to analgesia.,Absence of disease-causing organisms,Correct – foundation of infection control.,Bleeding control,"Incorrect – hemostasis, not asepsis.",,,B,Asepsis is maintaining an environment free from harmful microorganisms.,,FUND,Fundamentals,Easy,,GP-F-I2,GP-F-T1
,GP-S1-74,"When using a fire extinguisher, the acronym PASS means:","Push, Aim, Sweep, Stop",Incorrect – not standard.,"Pull, Aim, Squeeze, Sweep",Correct – proper fire extinguisher technique.,"Press, Alarm, Squeeze, Sweep","Incorrect – mixed terms, not accurate.",,,B,"PASS ensures effective and safe extinguisher use: Pull pin, Aim nozzle, Squeeze handle, Sweep base of fire.",,ETH,Ethics,Moderate,,GP-F-I2,GP-F-T1
,GP-S1-75,Breast milk contains antibodies especially:,IgM,Incorrect – main antibody in primary infections.,IgA,Correct – protects infant gut and mucosa.,IgE,"Incorrect – involved in allergy, not breast milk immunity.",,,B,Secretory IgA in breast milk provides passive immunity against GI and respiratory infections.,,PEDS,Paediatrics,Moderate,,GP-F-I2,GP-F-T1
,GP-S1-76,The first sign of puberty in girls is usually:,Menstruation,Incorrect – occurs later after other changes.,Breast development,Correct – usually the earliest physical sign.,Hair growth,Incorrect – follows breast budding.,,,B,"Puberty in girls typically begins with breast budding (thelarche), then pubic hair, then menarche.",,PEDS,Paediatrics,Moderate,,GP-F-I2,GP-F-T1
,GP-S1-77,The preferred injection site for adults receiving IM injections is:,Abdomen,"Incorrect – used for subcutaneous injections (e.g., insulin).",Deltoid or ventrogluteal,Correct – both are safe and accessible for adults.,Forearm,Incorrect – site for IV access or intradermal injections.,,,B,Deltoid (small volumes) and ventrogluteal (larger volumes) are the preferred IM sites in adults.,,SURG,Surgery,Moderate,,GP-F-I2,GP-F-T1
,GP-S1-78,Which electrolyte imbalance can cause muscle cramps and tetany?,High sodium,"Incorrect – leads to confusion, not tetany.",Low calcium,Correct – increases neuromuscular excitability causing spasms.,High potassium,"Incorrect – causes arrhythmias and weakness, not tetany.",,,B,"Hypocalcemia causes tetany, Chvostek’s and Trousseau’s signs, and neuromuscular irritability.",,MED,Medicine,Hard,,GP-F-I2,GP-F-T1
,GP-S1-79,Which organ removes waste products from the blood?,Liver,Incorrect – detoxifies but kidneys are primary.,Kidneys,"Correct – filter blood, excrete wastes in urine.",Lungs,"Incorrect – excrete CO₂, but not main waste organ.",,,B,"Kidneys maintain fluid, electrolyte, and waste balance through urine formation.",,MED,Medicine,Easy,,GP-F-I2,GP-F-T1
,GP-S1-80,Which is the most effective method of family planning?,Rhythm method,Incorrect – high failure rate.,Implants and IUDs,Correct – long-acting reversible contraceptives (LARCs) are most reliable.,Withdrawal,Incorrect – highly unreliable.,,,B,"LARCs (implants, IUDs) are highly effective, safe, and reversible methods of contraception.",,PHN,Public/community health,Moderate,,GP-F-I2,GP-F-T1
,GP-S1-81,The legal document giving power to someone to make decisions for a patient is:,Consent form,"Incorrect – grants permission for treatment, not decision-making authority.",Power of attorney,Correct – authorizes another to make healthcare/legal decisions.,Death certificate,"Incorrect – records cause of death, unrelated to decision-making.",,,B,A power of attorney gives legal authority to another person to act on behalf of a patient in health or financial matters.,,ETH,Ethics,Moderate,,GP-F-I2,GP-F-T1
,GP-S1-82,"When a patient refuses treatment, the nurse should:",Ignore the patient,Incorrect – neglects autonomy and safety.,Respect the decision and document it,Correct – ensures ethical practice and legal protection.,Force treatment,Incorrect – violates autonomy and professional ethics.,,,B,Respecting autonomy means patients can decline treatment; nurses must document and inform the team.,,ETH,Ethics,Moderate,,GP-F-I2,GP-F-T1
,GP-S1-83,Oral rehydration therapy is primarily used to treat:,Dehydration from diarrhea,Correct – restores fluids and electrolytes lost.,Vomiting,Incorrect – oral fluids may not be tolerated.,Malaria,"Incorrect – requires antimalarial drugs, not ORT.",,,A,"ORT is a simple, lifesaving therapy for diarrhea-related dehydration, especially in children.",,PHN,Public/community health,Easy,,GP-F-I2,GP-F-T1
,GP-S1-84,Symptoms of shock include all EXCEPT:,"Pale, cool skin",Correct – common due to poor perfusion.,High blood pressure,"Incorrect – shock usually causes hypotension, not hypertension.",Rapid pulse,Correct – tachycardia compensates for low BP.,,,B,"Shock presents with hypotension, tachycardia, cold clammy skin, and shallow breathing.",,MED,Medicine,Moderate,,GP-F-I2,GP-F-T1
,GP-S1-85,The drug used to treat severe allergic reactions is:,Paracetamol,"Incorrect – analgesic/antipyretic, not for anaphylaxis.",Adrenaline (epinephrine),Correct – reverses airway obstruction and shock.,Insulin,"Incorrect – used for diabetes, not allergy.",,,B,"Adrenaline is the emergency drug of choice in anaphylaxis, given intramuscularly.",,MED,Medicine,Easy,,GP-F-I2,GP-F-T1
,GP-S1-86,One way to check patient identity before giving meds is:,Ask roommate,Incorrect – unreliable and unsafe.,Check ID band,Correct – safest and recommended method.,Trust patient memory,"Incorrect – prone to error, especially in confused patients.",,,B,Checking the ID band prevents medication errors and ensures right-patient safety.,,FUND,Fundamentals,Easy,,GP-F-I2,GP-F-T1
,GP-S1-87,"In a normal adult, how many teeth are present?",20,Incorrect – represents deciduous (baby) teeth.,32,"Correct – 16 upper, 16 lower permanent teeth.",28,Incorrect – excludes wisdom teeth.,,,B,"Adults normally have 32 permanent teeth, including third molars (wisdom teeth).",,FUND,Fundamentals,Easy,,GP-F-I2,GP-F-T1
,GP-S1-88,A blood glucose level of 3.0 mmol/L is considered:,Normal,Incorrect – normal fasting is 4–7 mmol/L.,Hypoglycemia,Correct – <3.9 mmol/L is hypoglycemia.,Hyperglycemia,Incorrect – >7 mmol/L fasting.,,,B,"Hypoglycemia (<3.9 mmol/L) can cause sweating, tremors, and confusion; prompt glucose is needed.",,MED,Medicine,Moderate,,GP-F-I2,GP-F-T1
,GP-S1-89,"During CPR, the chest should be compressed:",At a rate of 30/min,Incorrect – too slow for effective perfusion.,At a rate of 100–120 per minute,Correct – ensures adequate circulation.,Once every 10 seconds,Incorrect – grossly inadequate.,,,B,CPR guidelines recommend 100–120 compressions per minute at 5–6 cm depth.,,FUND,Fundamentals,Hard,,GP-F-I2,GP-F-T1
,GP-S1-90,A major role of Vitamin C is to:,Build bones,Incorrect – Vitamin D and calcium are key.,Enhance wound healing and immunity,Correct – supports collagen synthesis and immunity.,Reduce cholesterol,Incorrect – not a major Vitamin C role.,,,B,"Vitamin C deficiency causes scurvy, with poor wound healing, gum bleeding, and impaired immunity.",,NUTR,Nutrition,Easy,,GP-F-I2,GP-F-T1
,GP-S1-91,A contraindication to oral medication is:,Vomiting,Correct – drug may be expelled or aspirated.,Hunger,Incorrect – not a contraindication.,Sleep,Incorrect – patient can be awakened.,,,A,Vomiting or impaired swallowing makes oral medication unsafe; alternative routes are needed.,,FUND,Fundamentals,Easy,,GP-F-I2,GP-F-T1
,GP-S1-92,The safest way to dispose of used needles is to:,Throw in dustbin,"Incorrect – unsafe, risk of sharps injury.",Place in sharps container,Correct – puncture-proof disposal protects staff.,Burn openly,"Incorrect – hazardous, not safe practice.",,,B,Sharps containers prevent needle-stick injuries and infection transmission.,,FUND,Fundamentals,Easy,,GP-F-I2,GP-F-T1
,GP-S1-93,Constipation is defined as:,Diarrhea,Incorrect – opposite of constipation.,"Infrequent, hard stool passage",Correct – hallmark of constipation.,Increased urination,"Incorrect – unrelated, describes polyuria.",,,B,"Constipation involves reduced bowel frequency with hard stools, often due to poor diet, immobility, or medication.",,MED,Medicine,Easy,,GP-F-I2,GP-F-T1
,GP-S1-94,What is the function of platelets?,Oxygen transport,Incorrect – RBCs carry oxygen.,Blood clotting,Correct – platelets form plugs and activate clotting cascade.,Fight infection,Incorrect – WBCs provide immune defense.,,,B,Platelets prevent excessive bleeding by forming clots and initiating coagulation pathways.,,MED,Medicine,Easy,,GP-F-I2,GP-F-T1
,GP-S1-95,The major site of nutrient absorption is:,Large intestine,Incorrect – mainly absorbs water/electrolytes.,Small intestine,Correct – absorbs most nutrients.,Stomach,"Incorrect – mainly digests proteins, little absorption.",,,B,"Small intestine villi and microvilli maximize surface area for absorption of carbohydrates, proteins, fats, vitamins, and minerals.",,MED,Medicine,Easy,,GP-F-I2,GP-F-T1
,GP-S1-96,A pulse oximeter is used to measure:,Heart rate,Incorrect – measured by ECG/pulse.,Oxygen saturation,Correct – % of hemoglobin bound with oxygen.,Respiratory rate,Incorrect – must be counted manually.,,,B,"Pulse oximetry non-invasively measures SpO₂, indicating oxygenation status.",,MED,Medicine,Easy,,GP-F-I2,GP-F-T1
,GP-S1-97,Which food is richest in protein?,Yam,Incorrect – mainly carbohydrate.,Eggs,Correct – high-quality complete protein.,Rice,Incorrect – contains incomplete protein.,,,B,"Eggs provide essential amino acids for growth, repair, and immune function.",,NUTR,Nutrition,Easy,,GP-F-I2,GP-F-T1
,GP-S1-98,"The term ""bradycardia"" means:",Fast heart rate,Incorrect – that is tachycardia.,Slow heart rate,Correct – <60 bpm in adults.,Irregular heart rhythm,Incorrect – refers to arrhythmia.,,,B,"Bradycardia is a slow HR, normal in athletes but pathological if symptomatic.",,MED,Medicine,Moderate,,GP-F-I2,GP-F-T1
,GP-S1-99,What is the normal fasting blood glucose level?,9.0–11.0 mmol/L,Incorrect – hyperglycemia.,4.0–7.0 mmol/L,Correct – normal range for adults.,1.0–2.0 mmol/L,Incorrect – dangerously hypoglycemic.,,,B,Normal fasting glucose is 4–7 mmol/L; higher indicates impaired regulation or diabetes.,,MED,Medicine,Moderate,,GP-F-I2,GP-F-T1
,GP-S1-100,"Before surgery, why should a patient fast?",To prevent tiredness,Incorrect – not related.,To reduce risk of aspiration,Correct – empty stomach prevents regurgitation and inhalation.,To lower temperature,Incorrect – fasting does not affect body temperature.,,,B,"Pre-op fasting reduces aspiration risk under anesthesia, a critical safety measure.",,SURG,Surgery,Moderate,,GP-F-I2,GP-F-T1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,GP-S2-1,"A nurse prepares to dress a wound and dons gloves, mask, and gown. What is the main purpose of this personal protective equipment (PPE)?",To protect the patient only,Incorrect – infection control protects both patient and healthcare worker.,To protect both nurse and patient from infection,Correct – PPE breaks the chain of infection in both directions.,To make procedures faster,Incorrect – PPE may slow procedure but ensures safety.,,,B,"PPE prevents pathogen transfer, safeguarding both patients and staff, especially in invasive or high-risk procedures.",,FUND,Fundamentals,Easy,,GP-F-I4,GP-F-T2
,GP-S2-2,Which of these is NOT considered a routine vital sign?,Blood pressure,Incorrect – measured regularly in all patients.,Blood glucose,"Correct – checked only when clinically indicated (e.g., diabetes).",Temperature,Incorrect – part of the core vital signs.,,,B,"Vital signs include temperature, pulse, respiration, and blood pressure. Blood glucose is important but not universally routine.",,FUND,Fundamentals,Easy,,GP-F-I4,GP-F-T2
,GP-S2-3,An adult patient’s pulse oximeter reading shows 97%. How should the nurse interpret this value?,Hypoxemia,Incorrect – suggests significant oxygen deficit.,Normal oxygen saturation,Correct – healthy adult SpO₂ is within this range., Physiologically impossible,Incorrect – saturation cannot exceed 97%,,,B,SpO₂ of 95–100% indicates adequate oxygenation. Persistent readings <94% may signal respiratory compromise.,,MED,Medicine,Easy,,GP-F-I4,GP-F-T2
,GP-S2-4,A 40-year-old man with head trauma shows unsteady gait and poor coordination. Which part of the brain is most likely affected?,Cerebrum,"Incorrect – higher thinking and voluntary control, not balance.",Cerebellum,"Correct – coordinates movement, posture, and balance.",Hypothalamus,Incorrect – controls autonomic and endocrine functions.,,,B,"The cerebellum integrates sensory input and motor activity, maintaining equilibrium and coordination.",,FUND,Fundamentals,Moderate,,GP-F-I4,GP-F-T2
,GP-S2-5,A patient with anemia presents to the outpatient clinic. Which clinical sign would the nurse most expect?,Pallor,Correct – reduced hemoglobin causes pale skin and mucosa.,Jaundice,Incorrect – indicates bilirubin accumulation from liver disease.,Cyanosis,"Incorrect – reflects oxygen desaturation, not anemia.",,,A,Pallor is a common sign of anemia due to decreased red cell mass and oxygen-carrying capacity.,,MED,Medicine,Easy,,GP-F-I4,GP-F-T2
